Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20
,Sri Lanka,7.0,81.0,27,27,28,28,28,27,27,25,27,27,26,25,25,26,26,28,26,27,28,27,25,23,25,25,25,26,27,27,28,27,27,27,27,26,26,26,27,26,28,28,26,26,24,24,25,28,27,27,27,27,27,25,26,24,27,28,28,28,28,28,28,29,30,30,30,27,28,29,30,30,31,30,30,30,30,29,27,29,30
,Germany,51.0,9.0,1,0,6,5,4,3,5,5,9,7,4,3,5,7,10,9,7,4,4,3,3,2,3,1,2,3,5,4,4,7,11,9,11,8,5,6,5,5,3,9,6,5,5,3,7,8,13,9,5,5,7,6,10,10,9,7,4,2,5,11,8,9,6,7,5,4,6,8,9,10,11,9,8,8,12,15,14,15,16
,Finland,64.0,26.0,3,4,3,0,-4,0,3,3,1,-1,0,2,0,1,2,1,1,2,0,3,4,-1,0,0,-2,-3,-8,-5,-2,-3,-5,-3,0,-2,-7,-2,-4,-2,1,1,3,2,2,2,-2,1,3,3,3,0,-4,2,4,2,0,0,-3,-2,-3,-4,-3,-4,-3,-1,2,-1,2,3,4,4,3,2,0,-4,2,1,1,5,4
,United Arab Emirates,24.0,54.0,28,26,30,31,30,23,23,25,27,25,20,17,21,21,21,22,23,27,27,26,23,28,27,20,22,18,20,22,23,24,23,25,25,22,22,24,25,27,30,31,25,21,18,20,22,24,26,29,31,31,33,25,27,31,32,36,28,23,24,26,30,30,25,24,25,27,29,31,25,27,28,29,31,32,32,32,32,34,33
,Philippines,13.0,122.0,29,28,28,28,27,28,27,27,28,28,27,27,27,28,28,28,28,27,28,28,27,28,28,28,27,27,28,27,27,27,26,27,27,26,26,28,28,28,28,27,27,27,27,27,28,27,28,29,27,27,27,28,28,28,28,28,27,28,28,28,28,28,28,28,29,29,28,28,28,29,28,29,28,28,28,28,28,28,27
,India,21.0,78.0,22,20,24,24,24,25,27,26,25,24,25,27,28,29,29,27,27,28,27,27,29,30,29,29,29,31,30,30,28,28,28,26,27,27,28,28,27,29,27,27,28,28,31,32,33,33,33,32,33,33,35,34,33,34,33,30,31,32,33,34,34,33,34,33,32,33,33,34,32,33,32,33,33,34,34,36,36,33,37
,Italy,43.0,12.0,11,11,10,13,11,9,9,11,11,11,13,11,11,12,12,12,11,10,9,8,10,12,12,12,14,12,13,15,14,15,13,16,17,18,16,12,11,14,14,14,16,17,17,16,17,17,18,17,15,14,15,16,17,19,18,16,13,14,15,16,14,15,11,11,13,15,13,13,14,16,20,19,19,18,15,18,19,19,22
,Sweden,63.0,16.0,5,8,3,1,0,1,1,3,0,-1,3,1,0,2,2,1,2,1,3,8,2,1,4,1,0,5,2,1,0,0,0,2,2,-2,-4,3,-3,4,2,2,3,0,-1,-1,-2,2,5,4,3,0,0,3,3,2,0,-1,-3,-3,-1,0,-5,-5,-3,-1,-3,3,2,4,5,3,2,3,-1,0,5,2,6,5,3
,Spain,40.0,-4.0,11,11,9,13,11,12,12,12,13,13,12,10,10,11,12,17,14,11,12,9,10,12,12,12,10,12,13,14,15,14,16,17,15,16,18,16,14,14,13,14,16,16,15,16,15,17,18,15,15,17,17,20,21,22,22,19,17,19,20,14,15,14,14,17,16,14,17,18,19,23,26,26,23,22,21,9,17,19,18
South Australia,Australia,-34.9285,138.6007,25,29,37,23,18,25,28,32,36,23,23,27,31,30,25,23,22,24,22,21,25,23,19,23,24,24,25,28,35,39,34,22,23,21,24,26,28,29,30,29,29,26,24,28,24,24,24,27,22,21,22,23,25,29,30,25,21,20,23,25,27,21,20,23,22,22,24,24,25,27,30,30,22,21,23,27,30,31,28
,Belgium,50.8333,4.0,5,6,10,8,7,7,8,11,12,9,7,9,9,10,12,12,10,8,8,7,3,4,6,4,5,9,9,6,9,10,12,11,12,12,7,9,9,10,11,13,9,7,8,10,10,13,16,10,9,8,11,9,12,13,12,9,6,4,6,10,10,8,8,10,7,7,11,10,11,12,13,10,11,10,13,13,14,17,13
,Egypt,26.0,30.0,17,14,14,13,13,17,15,13,13,14,16,19,20,21,24,17,15,16,15,16,15,14,16,16,17,19,21,21,19,19,18,19,19,19,20,21,23,18,17,16,15,17,21,24,26,25,20,19,19,18,20,21,19,19,12,19,23,26,27,22,22,24,27,30,30,23,24,27,32,26,28,19,20,24,26,27,25,22,24
From Diamond Princess,Australia,35.4437,139.638,10,12,12,12,11,12,10,12,15,11,12,11,13,12,11,10,11,6,9,12,12,9,9,13,10,8,9,10,16,16,11,12,12,15,12,15,6,7,12,7,10,11,16,17,15,16,12,16,12,12,13,14,17,15,15,15,10,11,10,13,16,9,15,12,12,13,12,10,17,16,18,15,18,9,11,13,13,17,20
,Lebanon,33.8547,35.8623,8,6,6,4,6,8,8,4,4,5,7,8,9,10,12,14,7,6,5,5,4,6,5,3,5,8,11,10,8,9,3,4,8,11,10,12,13,3,0,0,0,3,7,9,9,11,10,9,10,9,8,10,6,8,11,9,11,14,15,9,7,10,15,18,19,10,12,18,19,16,20,19,11,11,14,15,11,4,3
,Iraq,33.0,44.0,18,18,20,17,17,19,19,18,16,16,16,17,17,16,16,17,22,18,16,18,16,11,13,15,12,14,17,17,18,19,21,15,15,16,18,21,24,24,19,13,7,7,11,19,18,19,20,20,23,23,19,21,25,23,25,19,16,21,23,25,20,20,22,23,25,28,22,26,28,28,29,30,30,21,23,24,27,21,20
,Oman,21.0,57.0,27,28,28,28,27,27,27,27,27,27,27,22,23,23,22,24,25,27,26,27,28,27,27,27,28,26,23,24,25,26,27,27,27,29,26,28,28,29,29,29,29,29,29,27,27,28,29,31,30,31,32,31,31,33,33,34,34,33,31,31,31,31,33,31,30,30,30,31,31,31,30,30,31,31,31,31,32,33,35
,Afghanistan,33.0,65.0,8,4,7,7,4,6,6,6,8,8,4,2,1,1,3,3,2,5,6,4,4,6,6,5,6,6,6,6,6,7,6,7,9,5,6,8,8,9,11,11,4,7,7,7,10,11,11,12,12,9,11,11,14,13,13,14,15,12,11,14,16,17,12,14,11,14,13,11,9,8,11,14,16,18,18,15,17,18,18
,Bahrain,26.0275,50.55,21,22,24,25,18,19,20,20,20,19,17,17,18,18,19,19,20,21,21,21,20,22,15,17,18,15,16,18,18,19,18,19,18,18,18,19,21,23,24,20,19,16,13,17,19,20,20,23,22,23,22,21,22,23,25,27,21,21,21,21,24,21,21,21,22,22,24,23,22,23,23,24,24,26,26,24,26,27,24
,Kuwait,29.5,47.75,19,19,20,22,19,20,20,20,20,18,16,18,19,15,20,20,22,23,22,21,20,20,17,17,15,18,19,20,21,21,20,20,18,18,19,20,22,24,25,20,15,12,13,18,22,24,23,24,22,27,23,23,24,24,25,26,21,23,25,25,28,23,23,24,26,26,27,25,28,28,28,29,26,26,24,26,27,25,28
,Algeria,28.0339,1.6596,16,17,18,20,21,18,17,19,18,17,17,14,16,17,17,17,19,21,22,22,24,25,25,25,24,26,23,21,21,24,26,26,24,24,26,27,22,23,24,25,27,28,26,26,27,26,27,27,24,25,25,27,26,24,25,26,27,27,28,29,30,31,29,29,31,33,24,22,23,25,24,26,29,31,32,29,30,31,30
,Croatia,45.1,15.2,2,6,8,6,0,0,4,3,7,7,4,2,5,5,7,6,4,1,0,-1,2,7,2,8,6,6,6,6,6,6,8,9,10,10,9,1,3,4,7,6,7,10,8,8,8,7,10,9,5,6,7,9,8,9,8,9,5,4,6,7,7,10,9,3,8,6,5,6,7,9,15,12,11,6,6,12,15,13,16
,Switzerland,46.8182,8.2275,5,3,5,2,2,5,2,6,8,3,2,5,4,5,7,6,4,-2,-3,0,4,6,5,6,4,4,5,3,0,5,6,5,4,5,-1,-2,2,4,4,4,5,0,1,2,3,7,7,6,1,0,6,3,9,8,11,5,-4,1,0,3,5,3,0,1,3,0,0,5,0,2,7,7,1,1,7,8,9,10,10
,Austria,47.5162,14.5501,2,6,6,2,-1,3,2,4,8,6,1,5,5,6,7,7,5,2,0,1,8,6,5,7,6,6,6,5,2,5,7,9,7,3,3,-2,1,2,5,6,5,4,3,5,1,6,8,10,5,5,4,3,10,9,5,12,0,3,0,4,6,7,4,3,4,5,3,6,5,6,9,14,6,6,7,13,11,14,16
,Israel,31.0,35.0,14,14,13,12,13,15,14,11,11,10,13,14,14,16,18,19,15,13,13,13,8,10,12,9,12,14,15,15,13,16,14,13,15,16,15,17,20,11,11,9,9,12,17,20,19,21,15,17,18,13,13,16,15,16,15,13,17,20,22,16,14,16,21,25,25,14,17,23,25,21,26,25,14,15,19,22,17,14,15
,Pakistan,30.3753,69.3451,12,12,13,13,8,7,11,11,12,11,12,8,8,8,8,10,11,10,11,11,11,12,15,15,16,16,12,12,11,12,12,14,14,14,13,12,16,16,17,16,17,18,18,17,21,23,23,22,24,18,18,19,20,21,22,24,25,25,22,20,20,23,20,17,12,13,16,19,19,17,8,8,15,18,20,22,23,23,23
,Brazil,-14.235,-51.9253,31,33,30,30,27,25,29,30,31,29,33,32,32,31,33,34,35,34,34,34,33,32,27,26,27,28,29,27,28,30,29,34,33,32,33,30,31,29,26,27,25,25,33,32,32,34,28,32,33,32,31,30,30,31,33,29,31,31,32,31,25,30,29,30,31,30,27,30,31,28,30,26,29,32,29,31,31,32,33
,Georgia,42.3154,43.3569,5,4,7,8,9,9,10,11,5,4,4,4,4,7,7,9,7,7,7,7,5,3,3,2,3,7,8,9,10,11,7,4,5,6,3,7,12,4,1,0,2,3,5,4,3,5,8,6,9,12,10,12,13,7,13,5,9,14,15,14,6,12,15,19,19,18,17,19,20,20,21,19,19,12,16,5,6,7,13
,Greece,39.0742,21.8243,8,4,7,12,4,2,3,3,6,11,11,7,8,10,8,10,7,7,6,5,6,11,12,10,11,13,7,10,11,11,11,14,12,13,13,5,3,6,6,10,9,12,14,13,8,6,7,12,15,13,9,8,5,12,18,16,13,7,7,11,12,15,16,11,11,12,16,11,10,12,12,16,22,20,13,4,13,13,14
,North Macedonia,41.6086,21.7453,6,5,6,8,6,4,4,4,4,7,10,4,7,6,5,5,5,5,6,4,3,7,7,6,10,9,10,13,9,11,12,16,17,17,18,5,2,6,6,6,9,14,12,13,11,11,13,13,17,15,7,12,10,14,16,18,20,12,13,12,16,22,20,13,12,15,12,11,11,11,15,22,24,19,9,13,17,18,18
,Norway,60.472,8.4689,0,3,0,-3,2,4,1,2,-3,-7,4,0,-1,1,0,2,4,0,-3,5,2,-3,3,0,2,1,2,-4,-1,-5,0,3,-2,-7,-4,3,4,2,2,2,0,0,0,-3,-2,0,2,4,1,0,3,3,1,0,0,-3,-5,-4,0,-3,-2,3,0,0,0,0,0,3,4,1,3,1,-3,-1,4,2,4,1,4
,Romania,45.9432,24.9668,0,1,1,1,-1,-2,-2,-1,-1,3,2,2,2,1,0,2,3,4,-1,-1,0,0,0,1,6,7,7,6,3,1,7,10,9,7,6,2,0,0,-2,3,7,5,4,4,8,4,8,11,11,7,5,6,4,9,7,14,15,3,7,5,13,12,18,16,4,12,15,8,8,9,9,18,19,11,8,12,13,13,16
,Estonia,58.5953,25.0136,2,4,5,3,0,2,4,6,4,2,0,6,3,3,7,6,4,4,5,3,6,2,2,4,3,4,5,2,3,2,2,4,5,2,0,1,-1,0,2,3,5,4,5,4,3,2,5,6,6,4,3,3,4,5,3,2,1,-1,0,2,2,4,2,4,4,5,4,5,6,4,4,6,4,0,3,3,5,7,7
,San Marino,43.9424,12.4578,8,9,9,10,8,7,5,7,9,10,8,8,7,8,9,8,9,6,5,4,6,9,8,8,7,7,10,13,12,12,12,13,13,13,15,9,8,11,9,11,15,16,14,13,12,13,13,15,10,11,10,12,13,14,15,15,13,10,11,13,12,12,10,5,11,12,7,9,10,12,16,15,15,10,10,12,13,15,16
,Belarus,53.7098,27.9534,0,2,1,3,0,0,0,0,2,2,5,2,3,3,4,5,2,0,1,1,3,4,1,2,4,3,1,2,1,2,2,3,7,2,1,0,3,-2,1,1,3,3,2,3,3,4,5,10,9,6,6,5,6,5,4,5,7,4,3,4,5,8,9,9,6,5,7,9,8,8,8,11,9,2,3,8,7,13,10
,Iceland,64.9631,-19.0208,-1,-9,-14,1,-1,-1,-3,-5,-7,1,-1,-11,-6,-2,-3,-3,-6,-8,2,-2,-2,3,-6,-7,-3,-3,-3,-8,-7,-3,-4,-10,-9,-5,0,2,3,2,-3,-7,-2,-7,-11,-12,0,-3,-3,-2,-3,-3,-2,-3,-6,-5,-3,-6,-8,-10,-3,-2,-2,-3,-4,-5,-9,-8,-8,-7,-9,-3,-3,-9,-5,-9,-5,0,-3,-3,-7
,Lithuania,55.1694,23.8813,4,5,2,4,2,1,2,3,4,6,3,3,5,5,6,7,4,3,3,4,6,5,3,5,5,3,2,4,3,5,4,9,6,4,2,1,4,1,4,4,7,3,4,5,4,4,7,9,7,6,6,3,4,6,6,3,6,3,4,5,9,9,7,7,8,7,6,7,9,8,7,8,6,1,6,8,9,14,9
,Mexico,23.6345,-102.5528,19,18,14,15,14,18,21,19,23,23,22,20,23,24,23,23,21,22,20,19,19,22,20,20,22,15,18,21,18,22,19,17,15,19,15,19,18,21,25,25,24,24,25,21,24,25,25,26,28,29,29,28,22,27,26,27,24,18,22,23,28,28,28,24,24,21,20,25,23,24,24,26,27,29,30,28,25,27,27
,New Zealand,-40.9006,174.886,18,18,19,18,16,18,18,17,18,18,17,18,17,18,19,20,20,20,21,21,19,18,19,20,20,20,19,20,19,20,20,19,19,20,22,19,19,20,19,17,19,18,19,18,22,21,22,19,19,19,20,21,20,18,19,21,20,19,20,19,21,20,21,18,18,19,18,20,18,19,16,18,18,18,18,19,14,15,17
,Nigeria,9.082,8.6753,34,32,32,32,33,34,35,36,36,36,35,35,37,37,37,36,35,34,34,36,36,36,36,35,34,35,36,36,36,37,36,36,35,35,34,34,35,37,37,36,36,35,35,35,37,37,37,36,35,37,38,38,38,38,38,37,37,37,37,39,36,35,37,38,38,39,37,38,39,38,36,37,37,38,39,38,39,38,38
Western Australia,Australia,-31.9505,115.8605,28,24,21,25,32,30,29,27,26,31,33,30,33,32,33,31,27,29,29,28,24,24,27,29,31,32,36,32,27,22,23,26,33,36,38,33,28,27,27,26,31,32,31,33,36,26,25,30,32,33,32,30,29,30,30,32,29,29,29,26,28,29,31,32,30,25,25,29,32,32,32,29,31,28,26,25,23,22,25
,Ireland,53.1424,-7.6921,7,11,8,7,10,9,13,8,4,8,11,7,8,5,8,11,6,6,6,6,7,9,7,8,9,7,6,6,9,10,12,9,11,8,9,9,9,9,8,11,5,5,7,8,10,10,7,7,7,9,6,10,7,8,11,5,7,8,11,5,7,7,8,8,8,9,12,8,11,10,9,8,9,11,9,10,13,8,10
,Luxembourg,49.8153,6.1296,1,2,7,5,5,2,5,8,10,8,5,4,6,8,12,10,8,5,5,4,3,4,4,4,4,5,5,5,6,7,10,11,12,9,5,8,7,7,6,12,7,4,5,6,8,10,14,8,7,5,8,7,8,11,10,7,4,1,4,10,8,6,5,6,7,6,8,10,8,11,13,9,9,10,13,15,15,15,15
,Monaco,43.7333,7.4167,13,13,12,14,15,12,12,15,13,13,15,13,12,13,13,13,12,13,13,12,15,16,15,13,13,13,13,16,16,13,14,15,14,16,18,15,13,13,13,14,20,20,15,14,16,15,13,14,15,15,14,15,14,13,14,16,14,13,15,14,15,14,14,14,12,13,16,14,14,15,14,13,16,16,15,16,16,16,17
,Qatar,25.3548,51.1839,24,25,29,31,21,21,22,23,21,21,18,18,20,20,22,21,24,25,26,24,24,25,17,19,23,16,18,21,21,23,23,26,22,21,21,25,27,29,31,27,21,18,15,19,23,26,26,28,31,31,31,25,28,30,32,34,25,24,25,27,31,27,24,24,26,28,30,29,26,29,29,30,31,31,33,32,30,32,31
,Ecuador,-1.8312,-78.1834,21,23,22,22,25,25,24,25,26,24,19,22,19,23,23,22,21,21,20,19,23,25,25,24,21,22,21,26,25,24,22,23,24,22,22,22,26,25,23,23,22,22,24,23,23,24,21,21,22,22,23,24,25,22,22,21,22,23,21,21,22,23,20,21,21,22,20,23,23,22,21,22,22,23,23,24,21,22,23
,Azerbaijan,40.1431,47.5769,13,11,6,8,10,10,10,10,9,9,8,10,11,10,8,8,7,9,4,7,8,11,13,9,8,14,11,11,13,17,17,5,12,15,18,14,22,24,14,5,4,5,10,12,13,10,11,9,12,15,11,16,11,18,15,17,13,16,22,18,18,9,17,18,20,19,18,18,18,18,21,26,21,21,18,13,9,9,13
,Armenia,40.0691,45.0382,-3,-4,-5,-3,-4,-4,-2,-2,-4,-5,-5,-2,-5,-2,-1,-5,-5,-4,-5,-4,-4,-5,-5,-11,-7,-3,-3,-2,-2,-3,-2,-7,-5,-3,-4,-2,0,-1,-4,-14,-13,-12,-9,-7,-9,-4,-2,-5,-1,0,0,0,0,0,0,-1,-2,3,2,2,0,0,1,4,5,5,4,4,5,5,6,5,5,1,3,1,1,1,0
,Dominican Republic,18.7357,-70.1627,25,26,23,24,25,25,26,25,25,25,22,24,22,22,21,22,23,24,22,22,24,24,25,23,22,24,23,24,25,25,25,26,25,26,23,24,25,24,25,26,25,25,22,22,24,25,24,24,23,22,22,24,25,24,23,22,24,24,26,25,26,25,22,22,25,26,25,26,21,19,21,24,24,25,23,23,23,23,24
,Indonesia,-0.7893,113.9213,32,31,28,32,29,32,32,32,31,30,28,30,34,33,29,30,32,32,30,30,33,34,33,31,30,32,34,30,34,26,30,33,32,29,31,28,31,29,32,27,29,34,35,33,33,31,31,29,28,33,32,32,34,35,32,32,30,32,28,31,31,32,28,31,29,29,33,30,32,34,36,31,32,31,36,33,31,33,32
,Portugal,39.3999,-8.2245,15,13,15,15,14,15,15,14,17,15,15,15,13,12,16,17,15,16,14,11,14,12,11,13,13,14,13,17,16,15,16,17,20,21,20,19,17,17,15,16,18,18,16,17,18,19,18,16,17,19,18,21,23,25,23,18,16,19,21,17,16,14,18,19,16,16,20,17,20,25,27,23,21,23,18,15,17,22,22
,Andorra,42.5063,1.5218,14,15,11,10,13,14,13,12,11,6,10,13,11,11,12,10,6,8,2,6,9,6,7,8,7,7,8,10,12,12,13,14,17,16,10,11,12,12,12,11,17,14,11,13,16,16,16,15,12,14,16,17,19,20,20,14,9,12,15,13,10,6,6,12,10,5,7,14,8,17,21,19,15,16,15,6,14,16,16
Tasmania,Australia,-41.4545,145.9707,14,19,21,18,17,20,19,23,20,16,9,21,18,22,20,15,17,16,17,15,18,17,8,13,14,14,16,13,20,28,28,19,10,8,15,20,18,22,20,17,16,17,22,21,16,18,18,16,13,17,14,11,16,19,18,20,7,10,12,18,13,10,17,13,13,16,15,13,14,14,15,17,11,9,14,12,15,15,17
,Latvia,56.8796,24.6032,2,4,4,3,1,2,2,4,3,3,0,5,5,3,6,7,4,3,5,3,7,4,3,6,5,4,4,1,4,3,3,6,6,3,1,1,2,0,2,4,6,4,5,4,3,3,5,9,6,5,5,3,3,5,4,2,4,3,0,3,7,6,6,7,6,9,4,6,9,6,6,7,5,0,4,6,8,9,9
,Morocco,31.7917,-7.0926,20,20,19,18,17,17,18,18,18,19,14,17,18,17,18,19,20,22,16,10,14,14,17,18,16,17,19,21,23,23,23,23,26,26,26,27,26,21,21,22,24,24,23,22,25,24,26,26,24,20,22,25,25,27,27,24,24,26,29,22,23,23,27,30,23,22,24,27,26,28,29,26,26,24,20,17,16,18,17
,Saudi Arabia,24.0,45.0,24,27,29,26,18,18,19,22,21,18,14,14,19,17,17,20,23,26,24,21,23,22,15,19,17,14,17,21,23,20,24,22,20,20,23,23,26,29,28,26,21,16,16,20,24,25,27,29,31,32,24,23,28,30,31,32,23,25,29,30,31,25,25,27,29,29,31,26,25,28,29,29,31,28,26,27,30,29,30
,Senegal,14.4974,-14.4524,33,34,32,32,32,31,30,32,33,34,34,35,34,33,33,35,35,35,36,37,37,36,36,38,38,38,39,39,39,39,39,40,39,39,38,38,38,38,37,37,37,39,39,39,39,39,40,40,40,40,39,40,40,38,41,41,40,40,40,40,40,40,41,42,42,42,41,41,41,40,40,40,40,39,39,39,39,39,39
,Argentina,-38.4161,-63.6167,29,29,32,35,31,31,25,32,29,29,28,34,34,27,37,24,27,32,36,39,35,33,37,38,33,32,30,31,33,28,34,35,39,34,35,26,29,26,28,27,27,30,32,35,26,31,35,33,26,30,25,24,24,29,33,27,27,33,35,34,35,39,37,37,36,34,35,34,30,30,30,30,33,33,25,27,29,26,23
,Chile,-35.6751,-71.543,34,32,33,33,32,25,28,28,24,27,31,33,34,33,31,28,34,36,37,35,35,36,32,31,34,34,34,34,31,31,34,35,32,33,31,28,28,29,32,34,35,34,34,30,28,31,32,31,25,33,33,34,31,30,29,25,31,33,33,33,35,31,31,33,33,34,34,31,32,33,34,32,30,28,30,31,28,28,30
,Jordan,31.24,36.51,13,13,12,10,12,15,14,10,9,8,12,14,14,14,17,18,15,12,12,13,8,10,10,7,9,12,16,15,14,16,12,12,15,18,15,18,19,15,9,7,6,9,16,19,17,21,16,15,17,14,14,18,15,17,16,12,15,20,21,17,13,16,20,24,25,17,16,22,25,24,25,23,17,15,19,21,18,12,14
,Ukraine,48.3794,31.1656,2,1,2,4,3,0,0,0,0,1,6,3,5,5,5,4,4,2,1,0,4,5,2,4,6,4,4,6,5,4,5,7,10,5,5,2,0,-3,-2,0,4,7,4,4,7,7,7,8,9,9,8,6,6,9,6,8,13,10,7,7,9,8,15,18,16,17,14,12,18,14,13,16,14,10,3,8,9,12,17
,Hungary,47.1625,19.5033,5,3,1,5,4,2,2,0,2,2,6,3,2,4,4,3,2,1,1,3,3,1,5,2,1,2,5,7,5,6,11,15,13,11,9,7,5,8,5,8,13,9,8,10,10,9,12,14,12,11,10,8,11,14,11,17,8,8,7,10,13,14,14,7,10,7,11,11,12,14,14,20,12,12,10,13,16,19,19
Northern Territory,Australia,-12.4634,130.8456,34,34,33,33,33,32,32,33,31,28,28,32,33,34,34,33,32,33,32,31,31,29,31,31,32,33,33,33,33,32,33,33,32,32,32,32,33,34,33,34,34,32,33,33,34,34,33,34,34,34,33,33,34,33,33,33,31,31,32,32,33,32,32,33,33,33,32,30,28,32,32,33,33,34,34,33,33,31,33
,Liechtenstein,47.14,9.55,4,3,4,1,0,5,1,5,9,3,2,4,4,6,6,5,4,-1,-2,0,4,4,6,6,3,4,4,0,-1,4,6,4,2,4,-1,-2,1,4,5,5,3,0,0,4,2,6,8,6,2,-1,4,2,7,7,9,6,-3,0,0,3,4,4,-1,1,2,0,0,3,1,0,6,8,2,1,6,9,9,10,10
