Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20
,Spain,40.0,-4.0,-1,0,0,-2,-2,-2,-1,0,1,-1,-3,-3,-4,1,3,7,4,5,2,4,4,1,4,6,4,1,9,9,7,8,11,7,4,4,2,1,3,3,2,4,4,7,5,2,1,2,4,4,2,0,1,1,2,2,4,3,2,2,7,7,11,4,10,9,5,3,0,3,3,6,9,9,7,7,4,1,5,6,6
South Australia,Australia,-34.9285,138.6007,13,20,18,11,13,16,19,21,22,15,12,17,18,16,14,11,13,15,16,13,21,15,15,16,15,13,13,17,25,27,21,15,15,10,13,15,18,21,21,19,17,17,17,17,16,14,13,16,14,11,12,12,14,18,16,16,11,14,12,17,14,11,14,13,13,13,12,13,15,18,22,18,10,10,13,19,21,24,16
,Belgium,50.8333,4.0,0,5,2,1,0,3,6,9,7,1,2,4,8,9,3,8,3,2,0,-1,-2,-1,-1,-2,0,6,5,2,3,8,11,6,9,3,0,0,-1,5,6,6,3,3,3,3,6,12,6,4,4,6,1,4,8,4,6,2,1,0,4,4,3,0,1,5,4,0,6,5,6,10,7,4,3,6,4,2,4,3,6
,Egypt,26.0,30.0,5,3,2,2,2,4,2,2,2,4,4,6,6,8,7,6,5,4,3,4,3,2,2,3,1,2,4,5,4,5,5,5,5,5,5,8,8,4,4,3,2,4,5,8,8,10,8,9,7,5,5,6,5,5,5,4,7,8,9,8,6,6,7,14,12,8,8,12,11,13,17,9,11,10,11,12,7,7,8
From Diamond Princess,Australia,35.4437,139.638,4,4,4,3,3,5,4,7,5,5,4,5,5,5,4,4,4,3,3,3,3,4,7,6,3,4,3,8,8,7,5,5,5,5,4,2,-1,1,2,0,3,3,11,8,7,8,9,4,2,4,6,9,8,4,5,8,5,2,5,7,8,5,8,7,4,6,6,8,12,12,6,9,8,3,3,3,5,6,14
,Lebanon,33.8547,35.8623,1,2,0,2,3,2,1,1,0,-1,0,3,1,4,5,3,2,2,2,0,0,0,0,-3,-2,0,2,2,3,2,0,0,1,1,3,3,2,0,-2,-6,-6,1,2,2,3,4,0,1,3,3,2,2,1,3,3,2,3,5,3,0,1,2,4,7,7,4,5,7,6,6,12,8,5,4,5,4,1,2,0
,Iraq,33.0,44.0,7,8,8,7,6,7,8,6,10,7,6,6,4,4,5,7,7,7,8,8,9,7,5,6,6,4,5,8,6,7,8,6,4,4,6,8,10,10,8,2,0,-1,3,5,6,5,10,8,12,11,8,11,11,13,15,10,5,8,9,11,10,8,8,9,10,16,11,14,12,15,15,19,15,13,14,14,16,11,10
,Oman,21.0,57.0,13,15,16,15,16,17,12,15,15,18,17,10,11,10,10,9,11,12,13,13,13,15,14,17,18,10,11,9,10,10,12,13,14,11,9,12,14,13,13,13,14,16,11,10,11,10,12,14,12,13,14,16,17,15,16,16,17,15,12,13,16,16,15,12,13,14,15,15,14,16,14,15,13,13,16,16,16,17,20
,Afghanistan,33.0,65.0,0,-1,-1,0,3,-2,-4,-3,-4,0,0,-3,-6,-4,-5,-10,-5,-2,-1,0,-2,-2,0,-1,-4,-3,-7,-7,-5,-4,-4,-3,0,-6,-5,-4,-3,-1,0,1,3,4,1,-1,0,-1,0,1,0,-2,1,3,3,4,2,5,6,4,2,3,4,6,4,3,0,1,-1,2,3,-1,1,2,3,6,9,7,7,7,8
,Bahrain,26.0275,50.55,17,18,20,17,14,15,15,17,15,15,13,13,14,13,14,15,16,16,16,15,15,14,13,13,10,13,13,13,15,13,14,15,13,14,14,15,17,17,17,16,13,9,10,12,14,14,15,17,17,18,16,16,16,17,19,19,16,16,16,16,18,17,16,17,16,17,18,16,17,17,17,18,20,19,19,19,19,20,18
,Kuwait,29.5,47.75,9,12,14,10,9,9,9,10,7,10,8,6,9,6,6,9,14,11,11,11,13,8,6,9,6,6,7,8,8,10,11,6,7,6,8,10,14,12,11,7,1,0,2,7,9,10,15,14,14,16,11,11,13,15,18,13,10,11,10,13,12,11,11,11,12,16,14,14,15,15,15,15,20,15,14,16,19,14,14
,Algeria,28.0339,1.6596,2,3,3,5,5,6,6,4,3,3,5,3,4,5,8,6,6,6,10,12,13,9,11,12,14,9,9,6,5,8,9,10,10,10,10,10,8,7,9,11,10,16,13,14,13,14,12,11,8,11,12,13,11,8,10,9,10,11,11,12,13,14,13,13,15,15,9,6,8,10,11,12,13,15,15,13,14,16,11
,Croatia,45.1,15.2,-3,-1,-1,-2,-5,-4,-3,-1,0,-1,-3,-3,0,0,0,-1,-2,-3,-3,-3,-2,-1,-2,1,1,0,0,0,-1,2,5,5,6,6,-1,-4,-3,-3,-1,3,6,0,0,3,0,0,4,3,0,-2,-1,-2,2,5,3,4,-2,0,-2,3,3,4,0,-2,2,1,-1,-2,0,3,3,5,2,-1,-2,0,4,3,4
,Switzerland,46.8182,8.2275,-1,-1,0,-4,-2,-2,-1,2,0,-3,-1,0,0,1,0,0,-3,-7,-7,-5,0,0,0,-1,-1,-2,0,-3,-2,2,1,1,3,-2,-5,-7,-3,-2,-2,0,0,-4,-4,-2,-2,2,3,-3,-4,-3,-1,0,3,2,1,-5,-7,-7,0,-1,-2,-5,-6,-2,-3,-4,-6,-2,-4,1,2,0,-2,-2,-1,0,1,2,2
,Austria,47.5162,14.5501,-3,-4,0,-1,-9,-3,-5,0,-1,0,-6,-4,-3,0,-2,0,-1,-2,-5,-4,-1,-5,-2,-1,-1,-3,-1,-5,-3,-1,0,2,2,0,-3,-10,-10,-6,-4,-3,0,-4,-6,-1,-3,-1,0,1,-3,-2,-1,-4,0,1,0,-1,-4,-2,-7,-2,0,0,-2,-7,0,-1,-2,-3,-1,1,1,1,-3,-3,-3,0,0,1,3
,Israel,31.0,35.0,6,6,6,6,4,6,5,6,5,3,5,5,6,7,9,7,9,7,6,6,4,4,6,3,3,3,7,5,5,6,4,5,6,6,6,8,8,6,5,2,3,6,6,7,10,7,8,8,9,8,6,7,6,6,8,7,7,9,9,8,6,6,11,11,11,7,7,12,11,9,18,10,10,8,10,10,7,7,6
,Pakistan,30.3753,69.3451,0,0,0,3,4,2,0,-4,-4,2,2,1,-2,-3,-3,-5,-4,-3,0,3,0,-1,0,3,1,4,0,-1,-2,0,-3,-1,0,1,0,-1,-2,-1,0,3,5,7,7,0,1,1,1,2,6,2,2,6,6,7,6,6,9,10,6,7,7,9,9,7,4,3,4,5,6,5,2,3,4,5,8,8,8,9,11
,Brazil,-14.235,-51.9253,21,20,21,21,21,21,21,21,22,20,22,21,21,20,21,22,22,22,21,22,22,21,21,22,20,21,21,22,20,19,20,21,22,21,20,19,20,21,20,21,20,18,20,20,21,21,20,20,21,21,21,21,20,20,21,21,20,20,21,21,19,20,20,20,21,21,20,20,22,20,20,20,20,20,19,18,19,20,21
,Georgia,42.3154,43.3569,2,-1,1,-1,0,3,3,2,1,0,-1,0,-4,0,0,0,-1,0,-1,-1,0,-1,-1,-6,-5,-4,0,2,0,5,0,-3,0,2,-3,3,3,0,-5,-10,-9,-6,-2,-1,-5,-2,-2,0,1,0,1,5,4,0,3,-2,0,3,2,4,1,2,3,7,8,8,6,7,8,7,7,6,11,6,3,-1,1,3,3
,Greece,39.0742,21.8243,-3,-3,0,0,-3,-5,-5,-4,-1,0,0,2,0,0,1,-1,-1,-2,-1,-4,-1,1,-1,2,2,6,2,5,4,0,2,3,3,4,4,-1,-5,-1,-2,0,5,6,3,5,4,2,0,2,2,4,0,0,-1,2,4,6,6,0,0,0,4,8,6,1,2,6,7,3,2,1,3,5,9,7,0,-2,1,0,2
,North Macedonia,41.6086,21.7453,-2,-5,-4,2,0,-2,-4,-5,-5,-1,2,0,-1,-1,-2,-4,-3,-2,-2,-6,-4,-2,-4,-3,-1,2,0,4,0,-3,0,1,1,3,1,-1,-4,-1,-6,-4,0,1,-1,0,5,-1,-2,0,5,4,2,2,-2,0,0,2,8,0,2,-2,3,6,10,5,0,6,6,3,4,0,4,5,8,7,3,-1,3,1,3
,Norway,60.472,8.4689,0,-2,-6,-10,0,-2,0,-4,-11,-10,-1,-5,-5,-3,-1,-5,-2,-5,-4,0,-4,-5,-1,-3,-2,-2,-9,-5,-12,-9,-2,-5,-14,-11,-9,-1,-4,-9,-3,0,-6,-5,-8,-12,-7,-1,-2,-1,-8,-11,-5,0,-5,-8,-12,-12,-13,-14,-10,-6,-7,-5,-5,-10,-13,-13,-3,-3,-6,-2,-7,-6,-16,-7,-7,-3,-2,-5,-11
,Romania,45.9432,24.9668,-4,-8,-9,-2,-6,-11,-10,-10,-6,-6,-4,-7,-5,-7,-7,-7,-6,-7,-5,-4,-7,-4,-7,-5,-1,-3,0,0,-2,-1,3,3,4,1,0,-5,-3,-11,-9,-6,0,-1,-1,-4,0,-4,-4,-1,0,0,0,0,-1,6,-3,0,2,-3,0,-3,0,2,5,2,-1,0,4,3,4,4,5,5,4,1,-4,-2,0,0,3
,Estonia,58.5953,25.0136,1,2,1,-1,-4,1,2,1,1,-4,0,0,1,2,5,2,0,3,0,3,1,-2,1,1,-1,3,1,0,1,1,1,3,1,-4,-6,-2,-5,-1,1,2,2,1,1,0,-1,1,4,4,2,0,0,2,2,0,-3,0,-1,-3,-9,0,0,0,1,1,0,0,-2,0,1,2,2,1,-3,-5,1,-4,3,1,0
,San Marino,43.9424,12.4578,1,1,3,2,0,0,0,1,2,1,2,0,0,2,2,1,4,3,3,2,0,1,0,3,3,2,5,8,4,6,8,7,8,8,3,2,1,1,2,5,12,6,4,6,3,4,5,6,4,2,2,3,4,6,7,9,0,4,2,7,8,6,4,1,6,3,3,2,3,5,6,7,8,5,2,3,4,6,6
,Belarus,53.7098,27.9534,-1,-4,-1,-2,-4,-1,-2,0,0,1,-3,0,1,0,1,-2,-2,-2,0,0,2,-1,-1,1,-1,-1,-1,0,-1,-1,0,3,1,-1,-6,-4,-6,-6,-5,-2,1,0,0,-2,-4,-2,3,4,1,-1,0,0,3,-2,-4,2,1,-2,0,1,1,3,4,4,1,2,1,0,2,1,1,2,1,-4,-4,1,-1,7,0
,Iceland,64.9631,-19.0208,-10,-16,-17,-2,-4,-7,-9,-8,-9,-3,-17,-13,-6,-4,-7,-9,-9,-8,-4,-5,-3,-7,-8,-8,-9,-11,-11,-12,-10,-6,-11,-14,-13,-9,0,2,0,-4,-13,-11,-8,-15,-18,-13,-10,-6,-4,-7,-12,-6,-9,-7,-13,-6,-13,-10,-12,-11,-10,-6,-7,-7,-10,-16,-13,-16,-10,-16,-11,-6,-12,-10,-14,-18,-6,-7,-7,-16,-11
,Lithuania,55.1694,23.8813,3,0,1,0,-3,0,-1,1,1,2,0,2,0,2,3,0,0,0,0,2,4,0,1,3,0,0,-1,1,0,1,1,5,1,0,-6,0,-5,-3,-3,1,2,1,1,-1,-4,0,6,2,2,2,0,0,2,1,-2,0,-1,0,-1,2,1,3,5,1,0,3,3,0,0,4,2,3,-1,-5,0,-1,3,6,0
,Mexico,23.6345,-102.5528,8,8,0,-2,-1,0,4,0,5,6,0,1,6,5,6,6,8,8,9,8,5,7,6,3,7,8,4,3,1,5,1,2,5,7,7,9,4,0,2,5,9,7,10,0,2,5,6,9,10,9,7,9,4,8,7,8,3,0,2,4,7,6,8,10,7,5,6,9,9,11,10,11,10,9,10,11,10,10,8
,New Zealand,-40.9006,174.886,15,15,13,11,14,13,12,13,15,13,15,16,13,11,12,12,11,14,15,14,15,16,17,16,16,17,17,17,17,17,16,17,17,18,16,15,14,15,10,13,15,13,16,14,14,17,17,17,17,15,16,17,13,11,13,15,16,16,17,13,15,17,17,11,11,12,14,16,16,14,11,11,13,12,15,12,11,14,15
,Nigeria,9.082,8.6753,14,13,13,15,17,18,19,19,18,19,19,20,20,20,18,17,18,17,17,19,19,18,17,16,15,15,16,17,16,16,15,15,16,16,16,17,18,19,19,19,18,15,15,17,18,18,18,18,21,18,20,21,20,19,18,18,20,22,22,21,21,21,22,21,21,23,20,23,21,23,23,20,19,18,20,21,22,21,21
Western Australia,Australia,-31.9505,115.8605,16,14,12,16,18,18,17,16,15,19,19,17,21,18,20,22,18,16,18,16,14,16,17,18,20,23,22,18,18,14,14,17,19,24,26,20,19,18,15,15,22,19,21,25,20,18,17,17,23,24,24,21,20,21,21,21,22,23,20,20,15,18,20,19,19,20,18,22,21,22,19,18,24,20,19,19,16,13,19
,Ireland,53.1424,-7.6921,6,3,4,6,7,5,4,0,0,7,4,3,2,2,3,0,-2,-3,-1,1,5,4,3,3,5,1,0,2,4,7,6,4,3,2,-1,0,3,1,8,3,1,0,2,1,4,3,3,3,1,3,3,5,4,3,1,1,0,1,1,2,0,1,0,-2,0,3,5,4,9,3,1,4,4,4,0,6,3,-1,-1
,Luxembourg,49.8153,6.1296,-2,2,0,0,-2,0,2,7,7,0,0,4,5,5,4,4,2,0,0,-3,-4,-1,-3,-1,0,2,4,1,1,7,9,5,7,2,0,-1,-3,-1,4,6,2,1,0,4,1,7,6,3,3,3,0,1,7,3,6,1,1,-2,2,3,3,1,1,3,3,1,3,4,3,10,8,3,1,3,2,5,3,5,5
,Monaco,43.7333,7.4167,8,8,8,10,9,7,8,8,7,9,9,7,7,9,8,8,8,7,8,9,10,9,9,9,9,9,8,10,10,9,9,10,10,11,8,9,6,8,8,9,15,11,9,10,10,9,9,11,10,10,8,10,9,9,8,11,7,8,9,11,8,8,8,9,7,8,9,9,9,10,11,10,12,11,9,11,11,13,12
,Qatar,25.3548,51.1839,14,15,18,17,14,13,11,14,15,14,13,9,8,12,10,10,12,13,14,13,11,15,12,8,11,12,9,8,9,7,9,13,9,8,9,11,13,15,15,17,13,9,8,9,9,8,12,13,13,16,15,14,13,16,18,21,11,12,10,11,13,13,13,12,10,10,12,13,12,11,10,12,17,19,16,16,18,20,16
,Ecuador,-1.8312,-78.1834,16,15,15,13,14,14,14,14,12,15,14,15,15,14,14,14,15,15,15,15,15,15,14,16,16,15,14,14,15,14,15,15,15,15,14,13,13,14,14,15,15,14,15,14,15,15,15,16,15,15,13,15,16,15,15,16,15,15,16,15,15,16,15,15,15,15,14,14,15,15,15,14,14,15,15,16,15,15,15
,Azerbaijan,40.1431,47.5769,1,4,4,0,-1,-1,-2,0,0,1,-1,3,-1,0,3,1,-1,1,1,-1,-2,0,5,-2,-3,-2,-3,-2,0,0,5,2,0,2,5,3,5,7,0,-2,-5,-7,-1,3,-1,0,4,0,-1,3,4,5,6,5,3,2,0,0,7,3,4,3,3,4,6,5,3,2,3,4,6,8,9,12,6,4,4,3,2
,Armenia,40.0691,45.0382,-12,-11,-10,-10,-12,-10,-10,-10,-12,-13,-12,-9,-12,-8,-12,-13,-13,-11,-11,-12,-13,-12,-12,-17,-13,-12,-11,-9,-11,-8,-8,-14,-12,-10,-9,-6,-5,-7,-16,-20,-20,-20,-14,-15,-16,-10,-9,-10,-9,-5,-7,-7,-6,-7,-6,-12,-9,-5,-6,-4,-7,-8,-5,-4,-2,-3,-3,-3,-3,-2,-2,0,0,-1,-2,-3,-3,-4,-5
,Dominican Republic,18.7357,-70.1627,17,17,16,17,16,16,15,16,17,16,16,16,16,16,16,16,14,16,16,16,16,15,16,15,15,15,15,15,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,17,16,16,16,15,16,16,16,15,16,17,17,16,16,16,17,17,16,16,16,16,15,15,15,15,15,16,15,15,14,15,16
,Indonesia,-0.7893,113.9213,21,22,21,22,22,21,22,23,22,21,21,21,22,22,22,22,22,22,22,21,22,23,23,22,22,22,23,22,22,22,21,22,22,22,22,21,21,21,22,22,21,22,22,23,23,21,22,21,21,21,22,22,23,23,22,22,21,22,22,22,22,22,21,22,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22
,Portugal,39.3999,-8.2245,1,4,4,2,0,0,0,5,2,1,0,0,6,10,10,7,10,8,4,5,6,7,6,7,3,6,12,9,8,12,12,9,10,7,7,6,7,8,7,6,7,8,8,7,6,4,10,4,2,3,5,6,5,6,6,6,4,3,7,9,11,6,10,10,8,3,2,5,5,7,12,8,7,7,6,7,12,9,8
,Andorra,42.5063,1.5218,3,3,0,2,2,3,4,2,1,-1,0,0,0,0,-1,1,-2,0,-4,0,2,2,-2,-1,0,-2,-1,-1,0,4,1,3,5,4,-1,0,0,1,-1,2,3,1,2,1,2,3,4,0,0,1,1,4,5,4,4,1,-2,4,2,3,3,-1,1,3,-3,-1,0,1,1,6,9,7,4,4,4,3,4,2,1
Tasmania,Australia,-41.4545,145.9707,7,5,8,4,5,7,8,9,12,4,4,6,8,12,11,4,4,6,9,9,6,5,4,7,9,6,7,9,10,13,16,5,1,1,4,7,9,9,7,8,11,12,11,12,12,5,4,6,6,5,3,3,5,8,7,3,3,3,8,6,3,5,6,9,8,4,4,4,4,5,7,10,1,4,5,6,9,8,6
,Latvia,56.8796,24.6032,1,0,2,0,-3,1,0,0,0,0,0,1,0,3,5,2,0,2,0,2,3,1,1,3,0,2,0,0,0,0,1,5,2,-1,-6,0,-4,-1,-2,1,2,0,2,0,-2,0,5,5,3,3,0,1,2,2,-2,0,0,-1,-2,1,1,2,4,2,-1,2,0,0,0,3,3,3,-2,-5,0,-1,2,3,0
,Morocco,31.7917,-7.0926,6,6,6,5,5,3,3,4,3,3,3,2,3,2,3,4,6,6,6,1,3,4,3,5,3,4,4,5,7,7,7,8,10,11,11,10,7,6,6,8,8,9,8,8,9,9,10,9,8,11,9,9,11,10,8,6,8,10,11,8,8,8,10,12,9,5,7,8,8,11,12,13,9,11,10,5,3,5,9
,Saudi Arabia,24.0,45.0,14,13,14,14,6,6,10,13,7,6,3,1,5,2,3,8,11,13,9,9,11,6,4,6,1,0,1,5,8,5,14,5,5,7,12,14,15,15,12,9,4,0,0,4,5,9,14,15,16,15,7,10,13,16,18,10,7,7,12,15,11,6,7,10,12,14,10,8,6,9,10,14,20,11,11,13,20,14,13
,Senegal,14.4974,-14.4524,18,19,18,16,14,14,14,16,15,17,18,18,16,16,18,18,18,19,18,19,21,24,24,23,21,23,20,20,23,22,20,18,21,21,19,18,19,19,19,18,19,20,24,22,23,23,25,23,21,21,22,21,23,27,30,26,23,20,21,21,20,21,20,21,20,19,19,21,20,20,22,23,22,20,18,19,19,19,21
,Argentina,-38.4161,-63.6167,16,16,18,23,15,15,15,18,15,16,14,15,20,19,17,10,10,18,22,20,17,17,22,20,20,19,10,20,13,13,20,19,20,19,19,14,18,15,16,11,11,16,20,17,13,17,17,18,10,18,7,8,7,13,18,11,11,14,15,15,18,23,24,20,21,18,23,16,12,14,17,16,21,14,10,11,19,14,12
,Chile,-35.6751,-71.543,12,10,13,12,9,7,11,10,9,7,8,10,10,12,8,7,12,12,15,12,12,13,13,14,11,14,14,14,10,11,11,13,12,7,9,7,7,6,8,12,12,13,11,8,6,8,8,11,7,9,8,10,10,9,8,7,8,10,10,11,12,11,10,10,10,10,10,9,10,10,11,11,11,9,6,6,8,7,6
,Jordan,31.24,36.51,2,3,1,5,0,1,2,5,2,2,0,2,3,4,5,5,7,6,3,4,2,0,3,0,-1,0,4,4,1,3,3,3,4,5,3,4,5,5,4,-1,1,1,3,4,5,5,3,5,6,6,3,5,3,5,6,6,3,7,6,7,3,3,7,9,9,7,5,9,9,10,16,12,9,9,8,8,6,6,5
